시장,보통주명,우선주명,시가총액(보통주),배당성향,보통주가,우선주가,괴리율(%),보통주 배당금,보통주 배당수익률(A),우선주 배당금,우선주 배당수익률(B),배당수익률 비율(B/A),우선주코드,보통주코드
코스피,계양전기,계양전기우,105352348230.0,,3870.0,5220.0,-34.88,0.0,0.0,0.0,0.0,,012205,012200
코스피,진흥기업,진흥기업우B,99357198420.0,,6830.0,10420.0,-52.56,0.0,0.0,0.0,0.0,,002785,002780
코스피,진흥기업,진흥기업2우B,99357198420.0,,6830.0,14640.0,-114.35,0.0,0.0,0.0,0.0,,002787,002780
코스피,크라운제과,크라운제과우,97686030000.0,29.05,7800.0,7450.0,4.49,280.0,3.59,282.0,3.79,1.06,26490K,264900
코스피,티와이홀딩스,티와이홀딩스우,90949168667.0,,1999.0,2865.0,-43.32,0.0,0.0,0.0,0.0,,36328K,363280
코스피,크라운해태홀딩스,크라운해태홀딩스우,77057730930.0,10.62,5190.0,5190.0,0.0,130.0,2.5,135.0,2.6,1.04,005745,005740
코스피,CJ씨푸드,CJ씨푸드1우,68340330246.0,,1902.0,5660.0,-197.58,0.0,0.0,0.0,0.0,,011155,011150
코스피,대교,대교우B,65983514000.0,,1640.0,989.0,39.7,120.0,7.32,120.0,12.13,1.66,019685,019680
코스피,유유제약,유유제약1우,59446669050.0,23.37,3775.0,3680.0,2.52,115.0,3.05,125.0,3.4,1.11,000225,000220
코스피,유유제약,유유제약2우B,59446669050.0,23.37,3775.0,7870.0,-108.48,115.0,3.05,125.0,1.59,0.52,000227,000220
코스피,덕성,덕성우,51352000000.0,32.03,3275.0,4500.0,-37.4,115.0,3.51,120.0,2.67,0.76,004835,004830
코스피,서울식품,서울식품우,48056205834.0,,1218.0,4310.0,-253.86,0.0,0.0,0.0,0.0,,004415,004410
코스피,깨끗한나라,깨끗한나라우,45508126846.0,,1222.0,3530.0,-188.87,0.0,0.0,0.0,0.0,,004545,004540
코스피,성문전자,성문전자우,44698090565.0,5.21,2045.0,4705.0,-130.07,5.0,0.24,10.0,0.21,0.88,014915,014910
코스닥,소프트센,소프트센우,22871433952.0,,992.0,7000.0,-605.65,0.0,0.0,0.0,0.0,,032685,032680
코스닥,대호특수강,대호특수강우,20619535300.0,,950.0,2465.0,-159.47,0.0,0.0,0.0,0.0,,021045,021040
